# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun 20 19:26:42 2024
#
# User preference: *
#
# CONSTRAINT:  where (pl_orbsmaxstr not null
# CONSTRAINT:  and st_lumstr not null)
#
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
#
pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_lum,st_lumerr1,st_lumerr2,st_lumlim
326.03000000,0.32000000,-0.32000000,0,1.290000,0.050000,-0.050000,0,,,,,,,,,0.231000,0.005000,-0.005000,0,,,,,19.00,2.00,-2.00,0,2.70,0.30,-0.30,0,2.243,0.071,-0.085,0
323.21000000,0.06000000,-0.05000000,0,1.178000,0.000000,0.000000,0,,,,,,,,,0.238000,0.007000,-0.007000,0,,,,,13.76,2.85,-2.45,0,2.09,0.64,-0.63,0,1.978,0.180,-0.159,0
186.76000000,0.11000000,-0.12000000,0,0.775000,0.000000,0.000000,0,,,,,,,,,0.000000,,,0,,,,,11.55,1.12,-0.51,0,1.78,0.43,-0.29,0,1.840,0.081,-0.050,0
185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,,,,,,,,,0.000000,,,0,,,,,11.00,1.00,-1.00,0,2.20,0.10,-0.20,0,1.763,,,0
1766.00000000,,,0,2.864000,,,0,,,,,,,,,0.359000,,,0,,,,,1.00,0.05,-0.08,0,0.91,0.14,-0.09,0,-0.153,0.012,-0.010,0
1796.40000000,8.30000000,-8.30000000,0,2.800000,,,0,,,,,,,,,0.338000,0.011000,-0.011000,0,,,,,,,,,0.90,,,0,-0.150,,,0
799.50000000,0.60000000,-0.60000000,0,1.680000,0.030000,-0.030000,0,,,,,,,,,0.689000,0.011000,-0.011000,0,,,,,1.13,0.08,-0.05,0,1.03,0.15,-0.12,0,0.097,0.009,-0.013,0
578.38000000,2.01000000,-2.09000000,0,1.450000,0.020000,-0.020000,0,,,,,,,,,0.060000,0.030000,-0.020000,0,,,,,25.92,0.78,-0.74,0,1.22,0.13,-0.14,0,2.254,0.026,-0.024,0
993.30000000,3.20000000,-3.20000000,0,2.600000,,,0,,,,,,,,,0.080000,0.010000,-0.010000,0,,,,,8.50,,,0,2.30,,,0,1.602,,,0
982.85000000,1.06000000,-0.92000000,0,2.476000,0.002000,-0.002000,0,,,,,,,,,0.024000,0.007000,-0.018000,0,,,,,8.80,0.61,-0.40,0,2.10,0.13,-0.09,0,1.634,0.061,-0.043,0
,,,,330.000000,,,0,,,,,4000.00000,300.00000,-300.00000,0,,,,,,,,,,,,,0.85,0.20,-0.10,0,-0.370,0.150,-0.150,0
,,,,330.000000,,,0,,,,,3000.00000,300.00000,-300.00000,0,,,,,,,,,,,,,0.85,0.20,-0.10,0,-0.370,0.150,-0.150,0
,,,,330.000000,,,0,,,,,3000.00000,1000.00000,-700.00000,0,,,,,,,,,1.31,0.18,-0.10,0,0.62,0.06,-0.11,0,-0.403,0.090,-0.049,0
30.35060000,0.00780000,-0.00770000,0,0.190000,0.012000,-0.009000,0,,,,,,,,,0.042000,0.048000,-0.029000,0,,,,,10.64,0.84,-0.59,0,0.99,0.19,-0.13,0,1.774,0.047,-0.053,0
30.33000000,0.00000000,-0.01000000,0,0.194000,0.000000,0.000000,0,,,,,,,,,0.032000,0.039000,-0.023000,0,,,,,12.19,1.45,-1.28,0,1.05,0.27,-0.18,0,1.877,0.090,-0.095,0
452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,,,,,,,,,0.090000,0.140000,-0.060000,0,,,,,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,1.164,0.003,-0.003,0
883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,,,,,,,,,0.290000,0.160000,-0.090000,0,,,,,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,1.164,0.003,-0.003,0
,,,,118.000000,1.300000,-1.300000,0,,,,,1271.31363,317.82841,-317.82841,0,,,,,,,,,0.84,0.11,-0.11,0,0.17,0.01,-0.02,0,-1.164,0.003,-0.003,0
,,,,52.000000,6.000000,-6.000000,0,,,,,7786.50000,794.50000,-794.50000,0,,,,,,,,,,,,,0.40,0.05,-0.05,0,-1.720,0.110,-0.110,0
,,,,156.000000,10.000000,-10.000000,0,16.141,0.336,-0.336,0,4417.83700,349.61300,-349.61300,0,,,,,,,,,0.28,0.01,-0.01,0,0.11,0.01,-0.01,0,-2.230,0.060,-0.060,0
,,,,1950.000000,200.000000,-200.000000,0,,,,,3686.80952,413.17693,-317.82841,0,,,,,,,,,,,,,0.05,0.01,-0.01,0,-2.590,0.090,-0.090,0
,,,,46.000000,5.000000,-5.000000,0,,,,,1271.00000,318.00000,-318.00000,0,,,,,,,,,0.22,0.01,-0.01,0,0.19,0.02,-0.02,0,-2.561,0.110,-0.148,0
1078.00000000,2.00000000,-2.00000000,0,2.100000,0.020000,-0.020000,0,,,,,,,,,0.032000,0.014000,-0.014000,0,,,,,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,0.198,0.012,-0.011,0
2391.00000000,100.00000000,-87.00000000,0,3.600000,0.100000,-0.100000,0,,,,,,,,,0.098000,0.047000,-0.096000,0,,,,,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,0.198,0.012,-0.011,0
14002.00000000,4018.00000000,-5095.00000000,0,11.600000,2.100000,-2.900000,0,,,,,,,,,0.160000,0.090000,-0.160000,0,,,,,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,0.198,0.012,-0.011,0
