# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jun 26 12:55:39 2024
#
# User preference: *
#
# CONSTRAINT:  order by pl_name desc
#
# COLUMN pl_name:        Planet Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN pl_trandep:     Transit Depth [%]
# COLUMN pl_trandeperr1: Transit Depth Upper Unc. [%]
# COLUMN pl_trandeperr2: Transit Depth Lower Unc. [%]
# COLUMN pl_trandeplim:  Transit Depth Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,ttv_flag,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_dist,sy_disterr1,sy_disterr2
xi Aql b,1,1,0,136.97000000,0.11000000,-0.18000000,0,0.625000,0.000000,-0.001000,0,13.400,,,0,1.200,,,0,616.90494,28.92239,-56.89128,0,1.94100,0.09100,-0.17900,0,Msini,1.410000,,,0,0.059000,0.087000,-0.037000,0,,,,,,,,,,,,,0,,,,,K0 III,4841.00,,,0,10.86,0.44,-1.05,0,1.74,0.21,-0.28,0,-0.110,0.060,-0.100,0,[Fe/H],1.767,0.043,-0.103,0,2.61,0.08,-0.08,0,56.1858000,0.5597500,-0.5597500
ups Leo b,1,1,0,385.20000000,2.80000000,-1.30000000,0,1.180000,0.110000,-0.320000,0,14.200,,,0,1.270,,,0,162.09249,19.06970,-82.63539,0,0.51000,0.06000,-0.26000,0,Msini,0.311000,,,0,0.320000,0.134000,-0.218000,0,,,,,,,,,,,,,0,,,,,G9 III,4836.00,,,0,11.22,3.15,-0.45,0,1.48,0.90,-0.38,0,-0.200,0.090,-0.080,0,[Fe/H],1.800,0.221,-0.055,0,2.46,0.09,-0.09,0,52.5973000,0.9272000,-0.8963000
ups And d,2,3,0,1276.46000000,0.57000000,-0.57000000,0,2.513290,0.000750,-0.000750,0,12.500,,,0,1.110,,,0,3257.74117,222.47988,-1048.83374,0,10.25000,0.70000,-3.30000,0,Mass,9.170000,,,0,0.298700,0.007200,-0.007200,0,,,,,,,,,,,,,0,,,,,F8 V,6156.77,112.16,-112.16,0,1.56,,,0,1.30,,,0,0.101,0.010,-0.010,0,[M/H],0.525,0.013,-0.018,0,4.13,0.02,-0.02,0,13.4054000,0.0635000,-0.0629000
ups And c,2,3,0,241.25800000,0.06400000,-0.06400000,0,0.827774,0.000015,-0.000015,0,12.300,,,0,1.100,,,0,4443.24113,731.00534,-1684.49056,0,13.98000,2.30000,-5.30000,0,Mass,13.100000,,,0,0.259600,0.007900,-0.007900,0,,,,,,,,,,,,,0,,,,,F8 V,6156.77,112.16,-112.16,0,1.56,,,0,1.30,,,0,0.101,0.010,-0.010,0,[M/H],0.525,0.013,-0.018,0,4.13,0.02,-0.02,0,13.4054000,0.0635000,-0.0629000
ups And b,2,3,0,4.61703300,0.00002300,-0.00002300,0,0.059222,0.000000,0.000000,0,14.000,,,0,1.250,,,0,218.53100,1.39839,-1.39839,0,0.68760,0.00440,-0.00440,0,Msini,0.438000,,,0,0.021500,0.000700,-0.000700,0,,,,,,,,,,,,,0,,,,,F8 V,6156.77,112.16,-112.16,0,1.56,,,0,1.30,,,0,0.101,0.010,-0.010,0,[M/H],0.525,0.013,-0.018,0,4.13,0.02,-0.02,0,13.4054000,0.0635000,-0.0629000
tau Gem b,1,1,0,305.50000000,0.10000000,-0.10000000,0,1.170000,,,0,12.100,,,0,1.080,,,0,6547.00000,,,0,20.60000,,,0,Msini,20.300000,,,0,0.031000,0.009000,-0.009000,0,,,,,,,,,,,,,0,,,,,K2 III,4388.00,25.00,-25.00,0,26.80,0.70,-0.70,0,2.30,0.30,-0.30,0,0.140,0.100,-0.100,0,[Fe/H],2.519,0.017,-0.018,0,1.96,0.08,-0.08,0,112.5370000,4.2530000,-3.9590000
tau Cet h,1,4,0,49.41000000,0.08000000,-0.10000000,0,0.243000,0.003000,-0.003000,0,1.190,,,0,0.106,,,0,1.83000,0.68000,-0.26000,0,0.00576,0.00214,-0.00082,0,Msini,5.970000,,,0,0.230000,0.160000,-0.150000,0,,,,,,,,,,,,,0,,,,,G8.5V,5310.00,17.00,-17.00,0,0.83,0.02,-0.02,0,0.78,0.01,-0.01,0,-0.520,0.010,-0.010,0,[Fe/H],-0.305,0.003,-0.003,0,4.52,0.02,-0.01,0,3.6030400,0.0067800,-0.0067500
tau Cet g,1,4,0,20.00000000,0.02000000,-0.01000000,0,0.133000,0.001000,-0.002000,0,1.180,,,0,0.105,,,0,1.75000,0.25000,-0.40000,0,0.00551,0.00079,-0.00126,0,Msini,5.850000,,,0,0.060000,0.130000,-0.060000,0,,,,,,,,,,,,,0,,,,,G8.5V,5310.00,17.00,-17.00,0,0.83,0.02,-0.02,0,0.78,0.01,-0.01,0,-0.520,0.010,-0.010,0,[Fe/H],-0.305,0.003,-0.003,0,4.52,0.02,-0.01,0,3.6030400,0.0067800,-0.0067500
tau Cet f,1,4,0,636.13000000,11.70000000,-47.69000000,0,1.334000,0.017000,-0.044000,0,1.810,,,0,0.161,,,0,3.93000,1.05000,-1.37000,0,0.01237,0.00330,-0.00431,0,Msini,3.640000,,,0,0.160000,0.070000,-0.160000,0,,,,,,,,,,,,,0,,,,,G8.5V,5310.00,17.00,-17.00,0,0.83,0.02,-0.02,0,0.78,0.01,-0.01,0,-0.520,0.010,-0.010,0,[Fe/H],-0.305,0.003,-0.003,0,4.52,0.02,-0.01,0,3.6030400,0.0067800,-0.0067500
tau Cet e,1,4,0,162.87000000,1.08000000,-0.46000000,0,0.538000,0.060000,-0.060000,0,1.810,,,0,0.161,,,0,3.93000,0.83000,-0.64000,0,0.01237,0.00261,-0.00201,0,Msini,3.640000,,,0,0.180000,0.180000,-0.140000,0,,,,,,,,,,,,,0,,,,,G8.5V,5310.00,17.00,-17.00,0,0.83,0.02,-0.02,0,0.78,0.01,-0.01,0,-0.520,0.010,-0.010,0,[Fe/H],-0.305,0.003,-0.003,0,4.52,0.02,-0.01,0,3.6030400,0.0067800,-0.0067500
tau Boo b,2,1,0,3.31245680,0.00000690,-0.00000690,0,0.049000,0.003000,-0.003000,0,12.800,,,0,1.140,,,0,1891.00000,89.00000,-89.00000,0,5.95000,0.28000,-0.28000,0,Mass,4.950000,,,0,0.011000,0.006000,-0.006000,0,,,,,,,,,44.500,1.500,-1.500,0,0,,,,,F7 V,6466.27,115.27,-96.80,0,1.43,0.06,-0.05,0,1.32,0.24,-0.18,0,0.264,0.020,-0.020,0,[M/H],0.505,0.017,-0.019,0,4.25,0.09,-0.07,0,15.6521000,0.0847000,-0.0838000
rho CrB e,1,4,0,12.94900000,0.01400000,-0.01400000,0,0.106100,0.001100,-0.001100,0,1.770,,,0,0.158,,,0,3.79000,0.53000,-0.54000,0,0.01192,0.00167,-0.00170,0,Msini,3.760000,,,0,0.126000,0.054000,-0.078000,0,,,,,,,,,,,,,0,,,,,G0 V,5817.00,24.00,-24.00,0,1.35,0.03,-0.02,0,0.95,0.01,-0.01,0,-0.200,0.010,-0.010,0,[Fe/H],0.260,0.019,-0.020,0,4.25,0.05,-0.05,0,17.4671000,0.0241000,-0.0240000
rho CrB d,1,4,0,282.20000000,2.20000000,-3.70000000,0,0.827000,0.011000,-0.011000,0,4.940,,,0,0.440,,,0,21.60000,2.50000,-2.50000,0,0.06796,0.00787,-0.00787,0,Msini,0.985000,,,0,0.000000,,,0,,,,,,,,,,,,,0,,,,,G0 V,5817.00,24.00,-24.00,0,1.35,0.03,-0.02,0,0.95,0.01,-0.01,0,-0.200,0.010,-0.010,0,[Fe/H],0.260,0.019,-0.020,0,4.25,0.05,-0.05,0,17.4671000,0.0241000,-0.0240000
